------------------------------------------------------------
        Haribhau Automation Systems
        File Checksum Report
------------------------------------------------------------

Directory        : C:\Users\asus\Downloads\LB
Log created at   : Fri Feb  6 15:14:50 2026
Total Files      : 371

------------------------------------------------------------
Filename                       MD5 Checksum                        Size (bytes)
------------------------------------------------------------
a.exe 88686f763e354b5cd6c94a0783904629 40764
ArrayX.class cb3797e4e2f1ba2048c554ca5ad4dac8 913
LB readme.xlsx 2102d7d4015af9e0d1a22876007f379c 21731
Marvellous.class 5a02d0973fbb565237500dcb15ef3b13 460
Marvellous.py 83be7741b89c5db86b5488e37ef0a58a 22
myex.exe b7f50879dbcd5328a941080125d59e1a 41477
myexe.exe 3bd50676a1e1b3e26ad7fc0d160d2b7b 49146
Pattern.class 0e49bba7da4e40ece33eaf19bfcadc20 403
PPAFrame1.java d41d8cd98f00b204e9800998ecf8427e 0
problem28.c 05a9d7d6ed9629f0b23e4f5b361bb78c 229
program1.c fac602c1c861da70d225238bf172b58d 79
program10.c b8b3ed2c1d0f75b6956f1bfce4fccec9 2251
program10.cpp 94b5430f21b2316a238aab30f0dcd92d 2361
program100.java cec2f7136c0050f222a1e4653e8fc01d 825
program101.java 14e7fd8cfcc4378889a20c3a1a2de31b 1240
program102.java 8b94b753e78649e78311c540a0a17638 1442
program103.class 86664cd5a8653cf1e9192bc68764b8f2 334
program103.java 1a8a9c07932c9276cd64491476ec79d8 354
program104.java 705af9f91176099b1727f02aa930924d 880
program105.class f477c01a5637af300885a16598d14f1b 478
program105.java eb20dd12ea0d0a60b5b12c380d683c32 1063
program106.java 6579e104a929da4bd95e2a43839d77ca 1159
program107.java 11c948478d730037fb2bf91e1d112af8 1004
program108.java 7abe5fdd180aaf329879a4075feb548c 1226
program109.c 39ae82f3d778d4060efa3d0368050278 197
program11.c d2db6c63b8e68047e6b24117dc8298af 2511
program110.c dbd7793031f638108748541b6cd1e772 192
program111.c bb96c895edda185b533018baf3e39c57 184
program112.c 296dc508c2399012438110cbe805ff69 252
program113.c 431a284ebd421348a50a931281f61d27 257
program114.c 46dff17609a9f0603dd48f7313d4e019 249
program115.c 81e3c697a1945ceb9900fcdb496b752b 249
program116.c 4b2ad80724bdbd06f21debd66b7fbd61 251
program117.c 362352c19514d4431864af5b7ca5ede5 247
program118.c 9ac553503a3a5fe0dd0ce365dc5c8678 248
program119.c f6125d595c2497be7afe8292634e0dab 267
program12.c 1968a6b57e438a3f0dc3734cd5b8bbc6 550
program120.c 6c0ce5241bfda8da91c6b409e1314d38 267
program121.c 63393c993245005b7c102601a6f9f01d 248
program122.c 22683006c68aad6ff8e18a58ccca07e3 267
program123.c 9410ed2e6509fd920520c32ef81707f8 560
program124.c 98d45c80a0eec9a7bee505e2cbb7ffca 658
program125.c ea77064680c6cfc321ce6d2a8e343382 673
program126.c 98e5a356843e1a82af004b594b9232ad 687
program127.c e3bf9816b78dbbf7e77afcd5b8ab8050 667
program128.c 5b0868555ef2e2e2df57491caf3b8b29 778
program129.c 187919ec1ce9f4f92d1f941a54a8cb8c 840
program13.c 0b90ac8492cf08de0bc358f9b23f4b4e 406
program13.cpp e3fdcb8312a8ef8d808171efe9a53362 438
program130.c 5586bf3374e18d3be0acb2b3323783e6 837
program131.c b47e1f05996b44720ce7dee98b4135e3 808
program132.c a14d5284063aa1bff2aeb4483481e7af 812
program133.c 7da474a946322fd1cd1ddb62a1a19916 678
program134.c 93ce4e7ebf5021b9aa9fcc1865663cf0 699
program135.c 9b63026babda66f04dd07ada1b5e623c 939
program136.c 5f0d3a7fbbba0fe2d87568b40a36c7c0 1064
program137.c 269f4d9c3269bfa92413dcd79bc79dbd 1270
program138.c 028a22c2388f1e7b654297fa69e9e4d0 1291
program139,c.cpp 2c7ee631a659ae8b2865f125d3e60b9e 1384
program139.c 57c10f4aca5ae3551bc98788355c8694 1260
program14.c cb89af5c7fcfda01ae65139154a2ddc2 514
program140.c 951763df0f43ff95016123dcb73521e5 1225
program141.c 99d44216518939fda482a2029a575d59 1203
program142.c 0692cf234e7b3523647ba19210adff85 1190
program143.c f04d2d6178afa630600018038e23b6ae 1230
program143.exe e185b1a296825a2d71891b2bd9a251e6 41479
program144.c 30e9a826f68d0f41bc1b66e1f1a10ce5 961
program145.c d8f91728890c3439d498ebdd1b0fef34 965
program146.c bfc2edf3216a82d936e83802413c14c1 945
program147.c bec9458ee319744d6d756ae64607bdef 945
program148.c 3f1811fe24681d8869933f72f108853b 921
program149.c d1f9e1345a774db4786d90797172f184 323
program15.c 23f3e4782b8f4976bc01dcbd1656dc09 479
program150.c dcae1433eb6200d1463416d5f33dde04 818
program151.java ce45a19ee2c36f766b6c022fdc17f19f 274
program152.class 698a674ef2ac59aad3a558e76e2e84d5 323
program152.java 816d3c4622496188cea91638abc866d7 583
program153.java 0cb54a2e2dfc4ddc9f8c664d1e1637ff 587
program154.java 0d1559d8327228742583030011f7b0e5 741
program155.java e2ba34dac659de662a6725c7bf4356ae 771
program156.java 31d9aa97958ebd0893d29690d39a3f98 626
program157.java dab449283366b5d7af5d6da1f8d007f8 633
program158.java ddbc69100b6bd482592e26ff3def3319 635
program159.java ffb961885a2fded1539f4903b46920da 599
program16.c 7bd21a31a386f68ffc3af8e6ac730d16 1252
program160.java 5efcb67297567285ba28914fdef0a328 727
program161.java 2b71c3a7cad64996c82706929c00de0c 616
program162.java 8bf65177457caf534ebc1d2bbe42b813 862
program163.java 32bcd310366e3bc8d3134b314d1ab1d4 815
program164.java 54b2609cd5de69ed4456b3d2740de18f 840
program165.java 70e4c9e5a2ff032fbb7f02995c71cda4 840
program166.java f88671a9a97548f805b524e280165c61 852
program167.java 30b1241414eb458a9dcec8a6751ac692 852
program168.java 3dc77c8edf4661f631a8e6f81a0c9475 1026
program169.java c6abe29654394f8f5375305707ef2860 1027
program17.c 390652c757d7fbe3fe70ace14216e60b 409
program170.java 03c782f2ac047739104c493ed6ca6c67 1031
program171.java c61cdd76d4ba556d66c92b4f112bb500 696
program172.java 207c3ec2a73bf82510644d5c4c929788 708
program173.java 097be4aae6d79334ce23253e8edf517d 696
program174.java 7164bed555a573a22967dc87b1ccab02 696
program175.java aabda1566adb4895700e49fbfb7dd01d 732
program176.java 476d118a8c4c67119cccef6e18046bb3 731
program177.java df3852bb28bcf7c96fd842c0b2d2cbf1 869
program178.java 24ed1b14b2efc75904fe2f42fa7b4a67 702
program179.java 81e41ecb04d5bd98f58065cb10bce4ea 930
program18.class b791b696819230d977822bbbaef09746 461
program18.java 49ee673388c4191824e5248c41e2440e 291
program180.java b9ca68f473276c7be0868767fde19b0e 941
program181.java ef8a558d241a53707fb9b72526f4f597 905
program182.java 103880aa8bf462b4414790f6865815f1 1090
program183.java 8db26cfac5e2fde0a7e0f31550698574 1133
program184.java 023d7c7287041267b34f247ebaaae6ae 1156
program185.java fea20d501fb7217fb8945ee366f8e879 1156
program186.java c995aa5e4ad8f81a2587819ad0757b6a 1057
program187.java 59b62d86130e9ffe4edcf23ff1bcbc8d 1296
program188.java ca1198736553cd1b757d87d57b4510e0 1317
program189.java e4d422b8490aabee9bf8f547721900cb 1276
program19.java a4163d41298a6508dddf721ccf576388 331
program190.java 0ef5e35e0d5099c2c8c323df00a21b70 1275
program191.java ec4c96de020a84712475eb43483ddfe4 1406
program192.java b15a3e72c2c6cf5439e869c5b24554d5 1407
program193.java 418d7ab2b94c17cbdde229409e9ea51e 1402
program194.java 4a93d1e0e7e804920916d2979b410939 1159
program195.java 3dc9b37e910d78174642a4dd0225082b 1089
program196.c 6e816889e493b8a5b510c70f3847a4fe 256
program197.c c58eafa179f9bd5ec2b3c4c0820cf4c7 271
program198.c 291450d30e22b71faf50bcec6c31dafc 109
program199.c de3b612a64814e70148e604fa7fc4173 384
program2.cpp 4d44d4c952688afa07bf6c259096c6b9 99
program20.class 120a540cc8c272818d1db57f9e6e937b 527
program20.java 1e631198cb6db002e5dec0c5d28632e3 350
program200.c 9e39f032c016cbbac87d3268baaa3b5f 384
program201.c 792a6101fd4f80d41c3dc41f95b90554 419
program202.c 2b0e67a84ed083702ceb119ce44957ef 354
program203.c e19860b06a5e5f4c1b159a57bd129a52 467
program204.c 1efd8f9454223ba58e2e55d36b85ba2b 440
program205.c c74069c2fa50d880c6f5549fad94b5a7 487
program206.c fcfc187587eab5111f2e8f0868434972 487
program207.c 4737fb7b924f9cbdf77f3d014fbe0144 496
program208.c 409b9519fdbf29704017bc0fa067dcf4 537
program209.c ad678dad1b16b8adc8edc82f995dc983 99
program21.class e90603e6e040af7c8d24f6207d4e16c8 324
program21.java 4a9d39aeb69c4e9c161903364719619d 410
program210.c de53fdced330a9380c8cb2f3bf5edc54 118
program211.c 27673122bf28e333073aa6c85ea12ffb 240
program212.c f5f0c2a923111b7dc220b58d0d32c0a1 173
program213.c 27a111c433cae4d06b23d2d3ffe9b139 180
program214.c 0facc49d1c85b34a23c496fc9e241c48 286
program215.c 053fc0c3af156a991e5bf482fedc7918 269
program216.c 6ecfb9fd18b557678df5b0f40f3f548b 270
program217.c 996236881b9b5f1a22c3aba813135243 373
program218.c 77fbaa807f0b47bb9960ea1fa7caa312 414
program219.c c083ef44e8899bf9910c6a650d4953e3 414
program22.c 03e29cfbb9f32cd010ebdc76f5e18e95 230
program220.c f82b00097ea37bc1251d53761afc0500 429
program221.c 5e28e5053c233154de7b564d14afe7da 526
program222.c 7b452f41623432a7c0e8088ac5e9b190 620
program223.c 7bd6377ac22f69644d1d84612759d6ee 456
program224.c bc5cd7e16506599bd018a8736bc68ce7 561
program225.c e79fde80309630b6ca23fe9b1c19ee1d 589
program226.c 762a78198d0fc23282faeb49c1f78bd2 602
program227.c 151ca46091f1ff89ec039dc6487eedb8 459
program228.c 82202ef67d8f57475896585408eb5817 460
program229.c 4881f7fda15f4bc647043da15cfef03b 466
program23.c 75df7920dc94a64e4f755409c5979a98 219
program230.c 0b5ed90630aeb6f66cff1e01a835827f 579
program231.c aab2159be86a76572e372fa9c6a00930 614
program232.c 60b07dc01fd89c8f05097d103f693024 404
program233.c 5e045b1a0f639be8859482841b3d26ae 406
program234.c 432e11e67a64198cdca155491c4f2df9 385
program235.c 14ec5181eaa525dda35f8e242c75d271 360
program236.c 55e37ef0f47f73c8e7445286b435c1b3 375
program237.c ab64637134b7ad473042cf23cc6c85b5 383
program238.c 485e5e8acf623edf25601d8423415e5c 383
program239.c b1a6c347a595d422a1442a99ad42f055 483
program239.exe 15a05e1f7824a85953cb1e388fd3ea97 42645
program24.class f7b0e0c1f00b6b2ec995a4c580011ade 324
program24.java aa5763d4083eab3d11a53d4cb66ef27c 344
program240.java b05ff0ac758e82db3b56bba9bc8e654e 274
program241.java 25cdfb7aa63d38e1754ab81d3948dd84 341
program242.java e7477a109d716dffe11c4ee5213794cc 497
program243.java 7225d4a6c0b832a13319b9da971510a4 426
